Epoch,Training Loss,Training Accuracy
1,1.4303268487254779,0.2638671875
2,1.4300057649612428,0.2643229166666667
3,1.4300057644645372,0.2642903645833333
4,1.430005786816279,0.26422526041666666
5,1.4300057649612428,0.2642578125
6,1.4300057649612428,0.2642578125
7,1.4300057649612428,0.2642578125
8,1.4300057649612428,0.2642578125
9,1.4300057649612428,0.2642578125
10,1.4300057649612428,0.2642578125
11,1.4300057649612428,0.2642578125
12,1.4300057649612428,0.2642578125
13,1.4300057649612428,0.2642578125
14,1.4300057649612428,0.2642578125
15,1.4300057649612428,0.2642903645833333
16,1.4300057649612428,0.2642578125
17,1.4300057649612428,0.2642578125
18,1.4300057649612428,0.26422526041666666
19,1.4300057649612428,0.2642578125
20,1.4300057649612428,0.2642578125
21,1.4300057649612428,0.2642578125
22,1.4300057649612428,0.2642578125
23,1.4300057649612428,0.2642578125
24,1.4300057649612428,0.2642578125
25,1.4300057649612428,0.2642578125
26,1.4300057649612428,0.2642578125
27,1.4300057649612428,0.2642578125
28,1.4300057649612428,0.2642578125
29,1.4300057649612428,0.2642578125
30,1.4300057649612428,0.2642578125
31,1.4300057649612428,0.2642578125
32,1.4323416550954182,0.2638020833333333
33,1.48638916015625,0.24208984375
34,1.48638916015625,0.24208984375
35,1.48638916015625,0.24208984375
36,1.48638916015625,0.24208984375
37,1.48638916015625,0.24208984375
38,1.48638916015625,0.24208984375
39,1.48638916015625,0.24208984375
40,1.48638916015625,0.24208984375
41,1.48638916015625,0.24208984375
42,1.48638916015625,0.24208984375
43,1.48638916015625,0.24208984375
44,1.48638916015625,0.24208984375
45,1.48638916015625,0.24208984375
46,1.48638916015625,0.24208984375
47,1.48638916015625,0.24208984375
48,1.48638916015625,0.24208984375
49,1.48638916015625,0.24208984375
50,1.48638916015625,0.24208984375
51,1.48638916015625,0.24208984375
52,1.48638916015625,0.24208984375
53,1.48638916015625,0.24208984375
54,1.4863891604046027,0.24208984375
55,1.48638916015625,0.24208984375
56,1.48638916015625,0.24208984375
57,1.48638916015625,0.24208984375
58,1.48638916015625,0.24208984375
59,1.48638916015625,0.24208984375
60,1.48638916015625,0.24208984375
61,1.48638916015625,0.24208984375
62,1.48638916015625,0.24208984375
63,1.48638916015625,0.24208984375
64,1.48638916015625,0.24208984375
65,1.48638916015625,0.24208984375
66,1.48638916015625,0.24208984375
67,1.48638916015625,0.24208984375
68,1.48638916015625,0.24208984375
69,1.48638916015625,0.24208984375
70,1.48638916015625,0.24208984375
71,1.48638916015625,0.24208984375
72,1.48638916015625,0.24208984375
73,1.48638916015625,0.24208984375
74,1.48638916015625,0.24208984375
75,1.48638916015625,0.24208984375
76,1.48638916015625,0.24208984375
77,1.48638916015625,0.24208984375
78,1.48638916015625,0.24208984375
79,1.48638916015625,0.24208984375
80,1.48638916015625,0.24208984375
81,1.48638916015625,0.24208984375
82,1.48638916015625,0.24208984375
83,1.48638916015625,0.24208984375
84,1.48638916015625,0.24208984375
85,1.48638916015625,0.24208984375
86,1.48638916015625,0.24208984375
87,1.48638916015625,0.24208984375
88,1.48638916015625,0.24208984375
89,1.48638916015625,0.24208984375
90,1.48638916015625,0.24208984375
91,1.48638916015625,0.24208984375
92,1.48638916015625,0.24208984375
93,1.48638916015625,0.24208984375
94,1.48638916015625,0.24208984375
95,1.48638916015625,0.24208984375
96,1.48638916015625,0.24208984375
97,1.48638916015625,0.24208984375
98,1.48638916015625,0.24208984375
99,1.48638916015625,0.24208984375
100,1.48638916015625,0.24208984375
