Epoch,Training Loss,Training Accuracy
1,0.8786191498079607,0.6644260599793175
2,0.8280219820237928,0.7140641158221303
3,0.8096535282750283,0.7352637021716649
4,0.7994978447114268,0.749224405377456
5,0.7820312207744967,0.7647362978283351
6,0.7833978360699069,0.7611168562564633
7,0.7819963385981898,0.7673216132368149
8,0.7701278328895569,0.7786970010341262
9,0.7693345104494402,0.7750775594622544
10,0.7746330268921391,0.7740434332988625
11,0.7690107341735594,0.7786970010341262
12,0.7576161892183365,0.7936918304033092
13,0.7603831675744825,0.7880041365046536
14,0.7400166988372803,0.8061013443640124
15,0.7378971461326845,0.8097207859358841
16,0.7472069782595481,0.8019648397104446
17,0.7455079632420694,0.8050672182006204
18,0.7321308447468665,0.81282316442606
19,0.7215402876177142,0.8293691830403309
20,0.7284840768383395,0.8205791106514995
21,0.7179008741532603,0.8298862461220269
22,0.7237588820918914,0.8304033092037229
23,0.7502610741123077,0.795760082730093
24,0.7324172123785941,0.8169596690796277
25,0.7119004457227646,0.8402275077559462
26,0.7038197940395724,0.8469493278179938
27,0.7312953645183194,0.8200620475698035
28,0.7040082293172036,0.8459152016546019
29,0.6959150760404526,0.8572905894519132
30,0.6916847594322697,0.8583247156153051
31,0.6786805468220865,0.8717683557394003
32,0.6831060955601354,0.8676318510858325
33,0.6800740418895599,0.8665977249224406
34,0.6732548513720112,0.8712512926577043
35,0.673147980243929,0.8743536711478801
36,0.6662107956024909,0.8826266804550155
37,0.6682733220438803,0.8826266804550155
38,0.6782036519819691,0.8784901758014477
39,0.6607531809037731,0.889865563598759
40,0.6580157126149824,0.8914167528438469
41,0.6524353488799064,0.8991726990692864
42,0.6525518317376414,0.8965873836608066
43,0.6637257202979057,0.890899689762151
44,0.6731912551387664,0.8815925542916235
45,0.66806770524671,0.8836608066184074
46,0.6519533703404088,0.8986556359875905
47,0.6461030629373365,0.9033092037228542
48,0.6466120539173004,0.9027921406411582
49,0.6463110523839151,0.9022750775594622
50,0.6482721432562797,0.90641158221303
51,0.6376913132206086,0.9100310237849017
52,0.6495098683141893,0.9022750775594622
53,0.6447990459780539,0.9074457083764219
54,0.6373671658577458,0.9110651499482937
55,0.653258369814965,0.9043433298862461
56,0.6670254853463942,0.8821096173733195
57,0.6597766530129218,0.8883143743536711
58,0.6454169634849795,0.9089968976215098
59,0.6448773991677069,0.905894519131334
60,0.6412099311428685,0.9079627714581179
61,0.6395151980461613,0.9074457083764219
62,0.6311644854084137,0.921406411582213
63,0.6802791376267711,0.8676318510858325
64,0.6837744136010447,0.8655635987590486
65,0.6588988361820098,0.889865563598759
66,0.6407536825826091,0.9084798345398138
67,0.634782281614119,0.9162357807652534
68,0.6289099781743942,0.921923474663909
69,0.6294807214890757,0.921406411582213
70,0.6240126759775223,0.9281282316442606
71,0.6195504550010927,0.9322647362978284
72,0.6232126239807375,0.9281282316442606
73,0.6248808791560512,0.9281282316442606
74,0.6195871772304657,0.9296794208893485
75,0.6181121660817054,0.9312306101344364
76,0.6199260257905529,0.9353671147880042
77,0.6156529130474213,0.937952430196484
78,0.6158574761882905,0.9353671147880042
79,0.6160443444405833,0.9348500517063082
80,0.6112298503998788,0.9426059979317477
81,0.6085013151168823,0.9457083764219235
82,0.6071021864491124,0.9462254395036195
83,0.6054568367619668,0.9477766287487074
84,0.6104377315890405,0.9395036194415719
85,0.6085960941929971,0.9415718717683558
86,0.6038585651305414,0.9462254395036195
87,0.6148808444699934,0.9343329886246122
88,0.613305478326736,0.937952430196484
89,0.6223289601264461,0.9343329886246122
90,0.621444579093687,0.9307135470527405
91,0.6023976706689403,0.9467425025853154
92,0.6101845099079993,0.9400206825232679
93,0.6050320171540783,0.9446742502585316
94,0.6034806140007511,0.9467425025853154
95,0.6019516798757738,0.9524301964839711
96,0.6015894643722042,0.9529472595656671
97,0.594099094790797,0.9570837642192348
98,0.5944810432772483,0.9581178903826267
99,0.5956922827228424,0.9550155118924509
100,0.5971367647570949,0.953981385729059
